owner,github
codeberg-aitap,aitap
codeberg-bbedata,jannis-b
codeberg-chainsawriot,chainsawriot
codeberg-cidric,gitedric
codeberg-dgkf,dgkf
codeberg-dhaine,dhaine
codeberg-djvanderlaan,djvanderlaan
codeberg-drdcarpenter,drdcarpenter
codeberg-ee-hub,bastistician
codeberg-iagogv,iagogv3
codeberg-jaganmn,jaganmn
codeberg-mehrad,mmahmoudian
codeberg-nfrerebeau,nfrerebeau
codeberg-oscarperpinan,oscarperpinan
codeberg-r-packages,matherion
codeberg-riatelab,riatelab
codeberg-ropensci,ropensci
codeberg-sgibb,sgibb
codeberg-tesselle,tesselle
codeberg-thothorn,thothorn
codeberg-timtaylor,timtaylor
codeberg-usrbinr,usrbinr
codeberg-zeileis,zeileis
gitlab-albekeecoinfolab,salbeke
gitlab-bartk,bartk
gitlab-cabp_lshtm,pearsonca
gitlab-chris-dworschak,chris-dworschak
gitlab-cnrgh,cnrgh
gitlab-culturalcartography,dustinstoltz
gitlab-cvoeten,cvoeten
gitlab-dickoa,dickoa
gitlab-doliv071,doliv071
gitlab-elcortegano,elcortegano
gitlab-enricoschumann,enricoschumann
gitlab-epistemic-analytics,epistemic-analytics
gitlab-ezetoum27,ezetoum
gitlab-f-santos,frederic-santos
gitlab-fascinatingfingers,fascinatingfingers
gitlab-ferroao,ferroao
gitlab-fortunalab,fortunalab
gitlab-frdvnw,frdvnw
gitlab-fvafrcu,fvafrcu
gitlab-gavg712,gavg712
gitlab-hgarcesf,hgarcesf
gitlab-iagogv,iagogv3
gitlab-iembry,iembry
gitlab-imb-dev,lenz99
gitlab-indecis-eu,indecis-eu
gitlab-libreumg,libreumg
gitlab-luke-tierney,ltierney
gitlab-mbq,mbq
gitlab-mmaechler,mmaechler
gitlab-nuoroforestryschool,npuletti
gitlab-paulrougieux,paulrougieux
gitlab-petebaker,petebaker
gitlab-puletti,npuletti
gitlab-r-packages,matherion
gitlab-raim,raim
gitlab-rbiodb,ceabiodb
gitlab-rmarinao,rmarinao
gitlab-roigrp,roigrp
gitlab-scottkosty,scottkosty
gitlab-stephematician,stephematician
gitlab-thomaschln,thomaschln
gitlab-tibhannover,tibhannover
gitlab-treynkens,treynkens
gitlab-tristanblechinger,tristanblechinger
gitlab-ustervbo,ustervbo
gitlab-vochr,vochr
gitlab-wdnetwork,yelie-yuan
